Dates,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
Total,1,0,12,5,0,0,0,0,0,0,0,0,0,33,0,0,24,5,0,0,37,11,39,42,5,0,0,0,21,13,7,11,0,5,1,5,1,2,3,15,0,11,18,26,20,13,20,0,19,18,14,18,16,18,0,25,11,26,10,10,0,0,19,6,17,65,16,0,16,23,10,0,22,45,25,0,6,34,40,12,24,0,15,19,23,21,15,8,12,0,33,2,0,37,25,19,0,29,22,24,17,17,0,19,0
